                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
58,0.98401,0.46713,1.2009,0.92103,0.93435,0.96877,0.67195,1.1671,0.50209,1.4572,0.007228,0.007228,0.007228
59,0.97072,0.45968,1.1931,0.92009,0.92674,0.96917,0.66975,1.1634,0.50327,1.4494,0.0071785,0.0071785,0.0071785
60,0.96999,0.4517,1.1854,0.92286,0.92761,0.96744,0.67331,1.1539,0.49614,1.443,0.007129,0.007129,0.007129
61,0.96079,0.44998,1.1847,0.9265,0.91821,0.96721,0.67638,1.152,0.50781,1.4599,0.0070795,0.0070795,0.0070795
62,0.94432,0.44117,1.1703,0.92911,0.92941,0.96731,0.67832,1.1407,0.49869,1.45,0.00703,0.00703,0.00703
63,0.95688,0.44377,1.1784,0.91149,0.93885,0.96783,0.67916,1.1512,0.49509,1.4374,0.0069805,0.0069805,0.0069805
64,0.94133,0.44193,1.1631,0.94359,0.91502,0.96885,0.67067,1.1494,0.49388,1.4382,0.006931,0.006931,0.006931
65,0.92878,0.43688,1.1606,0.9185,0.92941,0.96946,0.68001,1.1395,0.49482,1.4299,0.0068815,0.0068815,0.0068815
66,0.92912,0.43324,1.1532,0.93207,0.92851,0.97071,0.68051,1.151,0.48936,1.448,0.006832,0.006832,0.006832
67,0.90952,0.42533,1.1482,0.92146,0.92806,0.96988,0.68574,1.1234,0.49661,1.4305,0.0067825,0.0067825,0.0067825
68,0.90903,0.42829,1.1437,0.93504,0.93846,0.97356,0.69113,1.1209,0.48044,1.4374,0.006733,0.006733,0.006733
69,0.90428,0.42453,1.1339,0.93004,0.93165,0.97018,0.67948,1.1428,0.48235,1.4458,0.0066835,0.0066835,0.0066835
70,0.90816,0.42271,1.1483,0.93076,0.93121,0.96922,0.6911,1.118,0.48172,1.4275,0.006634,0.006634,0.006634
71,0.89735,0.42311,1.1399,0.94192,0.92311,0.97066,0.70113,1.1023,0.47255,1.4116,0.0065845,0.0065845,0.0065845
72,0.86836,0.41284,1.1197,0.92838,0.93841,0.96877,0.69105,1.1069,0.47286,1.4291,0.006535,0.006535,0.006535
73,0.86146,0.40698,1.1167,0.93824,0.91996,0.96782,0.6924,1.1147,0.48123,1.4381,0.0064855,0.0064855,0.0064855
74,0.86548,0.40592,1.1268,0.93006,0.93165,0.97093,0.6945,1.1082,0.47157,1.4203,0.006436,0.006436,0.006436
75,0.85112,0.40649,1.121,0.93984,0.92019,0.97109,0.69222,1.1029,0.474,1.4329,0.0063865,0.0063865,0.0063865
76,0.85419,0.40491,1.109,0.93287,0.93105,0.97432,0.7024,1.0928,0.46602,1.4267,0.006337,0.006337,0.006337
77,0.84492,0.40276,1.1062,0.95434,0.91637,0.97392,0.70344,1.087,0.46381,1.4189,0.0062875,0.0062875,0.0062875
78,0.83916,0.39561,1.1065,0.94246,0.928,0.97207,0.70467,1.096,0.46685,1.4222,0.006238,0.006238,0.006238
79,0.84071,0.39589,1.099,0.94536,0.92806,0.97073,0.70334,1.0863,0.46876,1.4168,0.0061885,0.0061885,0.0061885
80,0.82949,0.39291,1.1064,0.94843,0.93165,0.9709,0.7086,1.0843,0.45943,1.4111,0.006139,0.006139,0.006139
81,0.82662,0.38876,1.0932,0.95094,0.91514,0.96982,0.70047,1.0899,0.46989,1.4122,0.0060895,0.0060895,0.0060895
82,0.80476,0.38343,1.0902,0.9477,0.91258,0.96462,0.69691,1.0801,0.47605,1.4138,0.00604,0.00604,0.00604
83,0.82084,0.38405,1.0974,0.9538,0.91893,0.969,0.70466,1.0693,0.45581,1.4041,0.0059905,0.0059905,0.0059905
84,0.7971,0.37792,1.0766,0.95209,0.91547,0.96743,0.70956,1.0661,0.45971,1.4058,0.005941,0.005941,0.005941
85,0.79777,0.37562,1.0694,0.9451,0.92888,0.97145,0.71173,1.0672,0.46576,1.4049,0.0058915,0.0058915,0.0058915
86,0.77914,0.3695,1.0608,0.95071,0.92266,0.97083,0.70391,1.0693,0.45004,1.4092,0.005842,0.005842,0.005842
87,0.77348,0.36846,1.06,0.95069,0.91015,0.97044,0.71342,1.0573,0.47021,1.4141,0.0057925,0.0057925,0.0057925
88,0.78765,0.3712,1.0633,0.93885,0.93345,0.97042,0.71293,1.0619,0.45807,1.4032,0.005743,0.005743,0.005743
89,0.77864,0.37112,1.0648,0.94048,0.92896,0.97052,0.71283,1.0627,0.45308,1.4247,0.0056935,0.0056935,0.0056935
90,0.76333,0.36465,1.0574,0.94377,0.92716,0.97051,0.71759,1.0524,0.45545,1.4079,0.005644,0.005644,0.005644
91,0.76123,0.36498,1.0615,0.95674,0.91951,0.9705,0.71788,1.0499,0.45254,1.4049,0.0055945,0.0055945,0.0055945
92,0.75739,0.36073,1.0519,0.94948,0.92112,0.96999,0.71472,1.0498,0.4517,1.4236,0.005545,0.005545,0.005545
93,0.74312,0.3548,1.043,0.93268,0.9348,0.97188,0.7197,1.0566,0.45059,1.4152,0.0054955,0.0054955,0.0054955
94,0.75158,0.35683,1.0487,0.95207,0.92898,0.97092,0.72193,1.0381,0.44066,1.3988,0.005446,0.005446,0.005446
95,0.75207,0.35958,1.0564,0.95363,0.91555,0.96495,0.71014,1.0474,0.45607,1.3941,0.0053965,0.0053965,0.0053965
96,0.7469,0.35329,1.0464,0.9435,0.92358,0.96773,0.72105,1.0451,0.45662,1.41,0.005347,0.005347,0.005347
97,0.73329,0.35234,1.0314,0.95498,0.91557,0.97041,0.72225,1.0356,0.44467,1.406,0.0052975,0.0052975,0.0052975
98,0.73053,0.35011,1.0328,0.95313,0.92581,0.97085,0.72797,1.0331,0.45063,1.4069,0.005248,0.005248,0.005248
99,0.72406,0.34885,1.0341,0.9433,0.92086,0.97078,0.72145,1.0412,0.45577,1.4174,0.0051985,0.0051985,0.0051985
100,0.7159,0.34472,1.0294,0.94739,0.92446,0.96961,0.72583,1.0301,0.44586,1.406,0.005149,0.005149,0.005149
101,0.71951,0.34542,1.0291,0.95048,0.92336,0.9676,0.72424,1.0305,0.45802,1.4183,0.0050995,0.0050995,0.0050995
102,0.71516,0.34242,1.0214,0.94799,0.91784,0.96694,0.72427,1.0344,0.45461,1.4281,0.00505,0.00505,0.00505
