                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
60,0.52363,0.54814,0.18514,0.85348,0.84397,0.90314,0.49738,0.45672,0.52728,0.19549,0.0014287,0.0014287,0.0014287
61,0.52199,0.55225,0.18543,0.84963,0.84095,0.90157,0.49954,0.46191,0.52332,0.19922,0.0014188,0.0014188,0.0014188
62,0.51695,0.53512,0.18207,0.85747,0.85162,0.90291,0.49695,0.46063,0.52377,0.1997,0.001409,0.001409,0.001409
63,0.52814,0.54622,0.18848,0.83316,0.79991,0.85852,0.47101,0.47324,0.59813,0.20067,0.0013991,0.0013991,0.0013991
64,0.5257,0.55064,0.1865,0.83657,0.80786,0.88348,0.48783,0.46026,0.54744,0.19716,0.0013893,0.0013893,0.0013893
65,0.52422,0.53788,0.18761,0.85634,0.86915,0.91384,0.50892,0.44886,0.5195,0.19134,0.0013794,0.0013794,0.0013794
66,0.51668,0.52615,0.18439,0.86383,0.86691,0.92193,0.51411,0.45166,0.50133,0.19455,0.0013696,0.0013696,0.0013696
67,0.5152,0.52486,0.17874,0.84792,0.83453,0.89302,0.48959,0.46155,0.54266,0.20212,0.0013597,0.0013597,0.0013597
68,0.5184,0.53501,0.18196,0.88562,0.85612,0.91683,0.51807,0.44791,0.5021,0.19359,0.0013499,0.0013499,0.0013499
69,0.51403,0.52743,0.1805,0.84643,0.85207,0.90662,0.5046,0.4539,0.52972,0.19692,0.00134,0.00134,0.00134
70,0.51231,0.53029,0.1791,0.88804,0.84885,0.91791,0.51708,0.44599,0.51153,0.19097,0.0013301,0.0013301,0.0013301
71,0.50865,0.51816,0.17817,0.87318,0.86286,0.92027,0.525,0.4454,0.50026,0.19138,0.0013203,0.0013203,0.0013203
72,0.51063,0.51606,0.18156,0.88806,0.85162,0.91625,0.51302,0.45176,0.5046,0.19378,0.0013104,0.0013104,0.0013104
73,0.51098,0.5229,0.17943,0.85998,0.85926,0.91222,0.52468,0.44221,0.51816,0.19165,0.0013006,0.0013006,0.0013006
74,0.50725,0.5196,0.18382,0.88144,0.86511,0.92326,0.52887,0.43891,0.50584,0.18773,0.0012907,0.0012907,0.0012907
75,0.50236,0.51639,0.1772,0.87016,0.86482,0.91893,0.52416,0.44639,0.49867,0.19332,0.0012809,0.0012809,0.0012809
76,0.50618,0.51745,0.17992,0.88628,0.85701,0.91984,0.5223,0.44373,0.50718,0.18912,0.001271,0.001271,0.001271
77,0.50212,0.51223,0.17889,0.87737,0.8795,0.932,0.52753,0.44147,0.49755,0.18923,0.0012612,0.0012612,0.0012612
78,0.50427,0.50907,0.17623,0.87726,0.87095,0.91956,0.52848,0.43645,0.49824,0.18928,0.0012513,0.0012513,0.0012513
79,0.49719,0.51201,0.17549,0.88854,0.8777,0.93069,0.52775,0.43947,0.49715,0.18964,0.0012415,0.0012415,0.0012415
80,0.51275,0.51471,0.18193,0.88557,0.85117,0.92102,0.52654,0.44256,0.49998,0.1911,0.0012316,0.0012316,0.0012316
81,0.50194,0.50177,0.17735,0.87353,0.88399,0.92386,0.53422,0.43459,0.49933,0.18634,0.0012218,0.0012218,0.0012218
82,0.49696,0.51374,0.17694,0.8872,0.86646,0.92916,0.53591,0.43531,0.48511,0.18486,0.0012119,0.0012119,0.0012119
83,0.49952,0.50623,0.17024,0.87714,0.87634,0.9204,0.52279,0.44558,0.49092,0.18903,0.0012021,0.0012021,0.0012021
84,0.49408,0.5093,0.17385,0.88319,0.86695,0.92603,0.53303,0.43532,0.49207,0.18662,0.0011922,0.0011922,0.0011922
85,0.49731,0.50095,0.17862,0.86518,0.84545,0.90775,0.50198,0.4589,0.5095,0.20122,0.0011824,0.0011824,0.0011824
86,0.50046,0.51261,0.18018,0.87598,0.86376,0.92428,0.52127,0.44484,0.50223,0.19282,0.0011725,0.0011725,0.0011725
87,0.48823,0.50855,0.17136,0.88085,0.8742,0.92743,0.5316,0.43719,0.49606,0.18914,0.0011627,0.0011627,0.0011627
88,0.49222,0.50398,0.17578,0.87624,0.885,0.92986,0.53245,0.43763,0.49324,0.18706,0.0011528,0.0011528,0.0011528
89,0.48735,0.4986,0.17149,0.86277,0.83723,0.91006,0.51455,0.44366,0.5192,0.19198,0.001143,0.001143,0.001143
90,0.5028,0.50914,0.17644,0.87603,0.88328,0.93236,0.53321,0.43895,0.48869,0.18791,0.0011331,0.0011331,0.0011331
91,0.49532,0.5022,0.17334,0.89611,0.87635,0.93764,0.54116,0.42971,0.48505,0.18372,0.0011233,0.0011233,0.0011233
92,0.48712,0.50119,0.17446,0.88869,0.87948,0.93183,0.5302,0.4418,0.48811,0.19084,0.0011134,0.0011134,0.0011134
93,0.4815,0.50115,0.1663,0.87393,0.88669,0.93213,0.53927,0.4286,0.48912,0.18368,0.0011036,0.0011036,0.0011036
94,0.48873,0.49705,0.17175,0.88997,0.88894,0.93703,0.54509,0.42758,0.48242,0.1838,0.0010937,0.0010937,0.0010937
95,0.47924,0.49518,0.17241,0.89806,0.86871,0.92895,0.53406,0.43554,0.49493,0.18683,0.0010839,0.0010839,0.0010839
96,0.48524,0.49988,0.17185,0.89188,0.87725,0.93513,0.54471,0.42853,0.48768,0.18412,0.001074,0.001074,0.001074
97,0.48097,0.5016,0.17096,0.88928,0.87394,0.93062,0.54503,0.42489,0.48198,0.1807,0.0010642,0.0010642,0.0010642
98,0.48135,0.48816,0.17226,0.89166,0.88073,0.94046,0.55285,0.42404,0.48153,0.18164,0.0010543,0.0010543,0.0010543
99,0.47077,0.48998,0.16667,0.89693,0.88817,0.93968,0.55226,0.42191,0.48693,0.18024,0.0010445,0.0010445,0.0010445
100,0.47537,0.48731,0.16835,0.8974,0.88099,0.93206,0.54116,0.42958,0.48459,0.18405,0.0010346,0.0010346,0.0010346
101,0.47983,0.48425,0.16817,0.89998,0.88085,0.93634,0.54684,0.4282,0.47746,0.18444,0.0010248,0.0010248,0.0010248
102,0.47641,0.4911,0.16794,0.88847,0.89902,0.94585,0.55546,0.4193,0.47484,0.17778,0.0010149,0.0010149,0.0010149
103,0.48004,0.48787,0.16937,0.89586,0.88174,0.93876,0.54985,0.42156,0.47677,0.18067,0.0010051,0.0010051,0.0010051
104,0.47158,0.48978,0.16489,0.88726,0.88468,0.92928,0.53891,0.43169,0.48698,0.18389,0.00099522,0.00099522,0.00099522
105,0.4746,0.4938,0.16882,0.89844,0.8768,0.93263,0.54457,0.42288,0.48172,0.18169,0.00098537,0.00098537,0.00098537
106,0.47837,0.48358,0.16902,0.89796,0.88234,0.94099,0.54834,0.4289,0.47704,0.18326,0.00097552,0.00097552,0.00097552
107,0.46796,0.48253,0.16127,0.89092,0.88489,0.93503,0.5505,0.42242,0.4786,0.18036,0.00096567,0.00096567,0.00096567
108,0.47212,0.48343,0.16428,0.89366,0.8918,0.94408,0.55348,0.41809,0.47825,0.17927,0.00095582,0.00095582,0.00095582
109,0.4637,0.48749,0.16311,0.89771,0.89119,0.9412,0.55101,0.42097,0.48057,0.17908,0.00094597,0.00094597,0.00094597
110,0.46296,0.48057,0.16671,0.88555,0.87322,0.93175,0.54578,0.42697,0.48543,0.18387,0.00093612,0.00093612,0.00093612
111,0.46804,0.48147,0.16234,0.90237,0.88101,0.94164,0.55815,0.41578,0.47338,0.1766,0.00092627,0.00092627,0.00092627
112,0.46414,0.48091,0.16285,0.90824,0.89658,0.94486,0.558,0.41731,0.47729,0.17709,0.00091642,0.00091642,0.00091642
113,0.47702,0.49444,0.1674,0.90001,0.87424,0.93823,0.54552,0.42776,0.47526,0.18472,0.00090657,0.00090657,0.00090657
114,0.47173,0.48059,0.16945,0.89969,0.88129,0.93934,0.55529,0.41917,0.47388,0.1803,0.00089672,0.00089672,0.00089672
115,0.45656,0.48173,0.15939,0.89798,0.88714,0.94127,0.56065,0.417,0.4719,0.17638,0.00088687,0.00088687,0.00088687
116,0.45687,0.48142,0.15914,0.90062,0.89119,0.94674,0.55943,0.41673,0.47538,0.17887,0.00087701,0.00087701,0.00087701
117,0.46367,0.47928,0.16041,0.87884,0.90347,0.94172,0.5572,0.41608,0.4766,0.17702,0.00086716,0.00086716,0.00086716
118,0.46126,0.47066,0.16119,0.90329,0.89038,0.9461,0.56075,0.41138,0.47525,0.1747,0.00085731,0.00085731,0.00085731
119,0.46059,0.47443,0.16209,0.91067,0.8795,0.94895,0.56027,0.41449,0.47559,0.17456,0.00084746,0.00084746,0.00084746
120,0.46566,0.47677,0.16495,0.895,0.88532,0.93837,0.54959,0.42338,0.48233,0.18285,0.00083761,0.00083761,0.00083761
121,0.46871,0.47533,0.16524,0.90761,0.87457,0.93931,0.55992,0.41357,0.48467,0.17689,0.00082776,0.00082776,0.00082776
122,0.4586,0.46826,0.16033,0.8981,0.89209,0.94648,0.56272,0.41042,0.47149,0.17287,0.00081791,0.00081791,0.00081791
123,0.46003,0.47624,0.15739,0.90119,0.89433,0.94529,0.56204,0.41377,0.47472,0.17665,0.00080806,0.00080806,0.00080806
124,0.45495,0.47542,0.15998,0.89204,0.88894,0.94193,0.55676,0.41607,0.48351,0.17713,0.00079821,0.00079821,0.00079821
125,0.45123,0.47123,0.15721,0.89911,0.89299,0.94835,0.56648,0.40951,0.46739,0.17522,0.00078836,0.00078836,0.00078836
126,0.4489,0.47339,0.157,0.90399,0.88904,0.94807,0.56666,0.40899,0.46817,0.17271,0.00077851,0.00077851,0.00077851
127,0.45045,0.46721,0.1565,0.9002,0.89838,0.94896,0.56528,0.41335,0.47314,0.17851,0.00076866,0.00076866,0.00076866
128,0.44476,0.46392,0.15363,0.90007,0.89658,0.94642,0.56739,0.40737,0.47395,0.17159,0.00075881,0.00075881,0.00075881
129,0.44486,0.47137,0.15578,0.90218,0.89344,0.94403,0.56568,0.40957,0.47751,0.17386,0.00074896,0.00074896,0.00074896
130,0.44819,0.47364,0.1551,0.90559,0.90153,0.94775,0.56648,0.41041,0.47255,0.17628,0.0007391,0.0007391,0.0007391
131,0.44796,0.47109,0.15703,0.90957,0.88185,0.94393,0.56689,0.40976,0.47531,0.17296,0.00072925,0.00072925,0.00072925
132,0.44453,0.46837,0.15489,0.90379,0.89029,0.94436,0.5687,0.40364,0.47907,0.17196,0.0007194,0.0007194,0.0007194
133,0.44221,0.46657,0.15244,0.8995,0.90153,0.9507,0.569,0.40719,0.46727,0.17325,0.00070955,0.00070955,0.00070955
134,0.44384,0.46681,0.15395,0.90078,0.90243,0.9515,0.56542,0.41338,0.46836,0.17547,0.0006997,0.0006997,0.0006997
135,0.44653,0.47039,0.15446,0.88734,0.91018,0.94653,0.56991,0.4052,0.46735,0.17013,0.00068985,0.00068985,0.00068985
136,0.44233,0.46368,0.1537,0.89566,0.90314,0.94315,0.56788,0.40489,0.46952,0.17118,0.00068,0.00068,0.00068
137,0.44434,0.46531,0.15239,0.90363,0.88957,0.94603,0.56633,0.4091,0.46879,0.175,0.00067015,0.00067015,0.00067015
138,0.44772,0.46267,0.15532,0.89376,0.89271,0.94632,0.56688,0.41301,0.47363,0.17583,0.0006603,0.0006603,0.0006603
139,0.44811,0.46947,0.15536,0.9002,0.89388,0.94498,0.56761,0.4105,0.46953,0.17398,0.00065045,0.00065045,0.00065045
140,0.44407,0.46936,0.15594,0.89816,0.89523,0.9432,0.57123,0.40543,0.47297,0.17182,0.0006406,0.0006406,0.0006406
141,0.43819,0.45776,0.15183,0.91163,0.90456,0.95283,0.57887,0.40089,0.46517,0.16982,0.00063075,0.00063075,0.00063075
142,0.44964,0.47025,0.157,0.9042,0.89973,0.94574,0.57082,0.40769,0.47629,0.17083,0.0006209,0.0006209,0.0006209
143,0.44195,0.46171,0.15442,0.90435,0.89703,0.94593,0.57225,0.40259,0.47243,0.1708,0.00061104,0.00061104,0.00061104
144,0.43445,0.46847,0.14865,0.89981,0.90063,0.94618,0.56821,0.40935,0.47902,0.17313,0.00060119,0.00060119,0.00060119
145,0.4395,0.46609,0.15105,0.91085,0.9004,0.95513,0.58081,0.40239,0.46252,0.16888,0.00059134,0.00059134,0.00059134
146,0.44065,0.46534,0.15148,0.92,0.88849,0.95281,0.57724,0.40003,0.46852,0.16851,0.00058149,0.00058149,0.00058149
147,0.43305,0.45667,0.15103,0.91582,0.89748,0.95047,0.57862,0.39694,0.47026,0.1674,0.00057164,0.00057164,0.00057164
148,0.43454,0.45724,0.14782,0.90477,0.89973,0.95204,0.58575,0.39584,0.46589,0.16619,0.00056179,0.00056179,0.00056179
149,0.42564,0.45368,0.15001,0.88928,0.91727,0.94929,0.57748,0.39821,0.46742,0.16828,0.00055194,0.00055194,0.00055194
150,0.43123,0.45536,0.14861,0.90993,0.89883,0.9475,0.57945,0.40411,0.46365,0.16959,0.00054209,0.00054209,0.00054209
151,0.43436,0.46265,0.14859,0.89742,0.89883,0.94936,0.57897,0.40191,0.47126,0.16952,0.00053224,0.00053224,0.00053224
152,0.43498,0.4651,0.14926,0.90662,0.90737,0.94941,0.57949,0.4009,0.46528,0.16954,0.00052239,0.00052239,0.00052239
153,0.43075,0.4565,0.14768,0.90464,0.90001,0.94847,0.57729,0.40014,0.47111,0.16923,0.00051254,0.00051254,0.00051254
154,0.43146,0.45671,0.1499,0.90197,0.90827,0.95099,0.58325,0.40261,0.46262,0.16995,0.00050269,0.00050269,0.00050269
155,0.42379,0.45626,0.14603,0.91447,0.90198,0.95242,0.58567,0.3953,0.46586,0.16563,0.00049284,0.00049284,0.00049284
156,0.41373,0.45061,0.1425,0.91344,0.90333,0.9508,0.5866,0.39359,0.46592,0.16568,0.00048299,0.00048299,0.00048299
157,0.42279,0.4464,0.1434,0.91931,0.89647,0.95462,0.58538,0.39662,0.46063,0.16785,0.00047313,0.00047313,0.00047313
158,0.41464,0.44722,0.14236,0.90921,0.90507,0.94978,0.58586,0.39487,0.46379,0.16632,0.00046328,0.00046328,0.00046328
159,0.41434,0.44888,0.14295,0.90303,0.91287,0.94897,0.58834,0.38911,0.46852,0.16272,0.00045343,0.00045343,0.00045343
