                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.46906,                 0.4899,                0.16085,                0.87753,                0.89164,                0.93509,                0.55317,                0.42153,                0.48248,                0.17699,              0.0011036,              0.0011036,              0.0011036
                     94,                 0.4715,                0.48727,                0.16302,                0.88218,                0.89209,                0.93861,                0.55781,                0.41525,                0.47918,                0.17279,              0.0010937,              0.0010937,              0.0010937
                     95,                0.46557,                0.48701,                0.16543,                0.89792,                 0.8705,                 0.9366,                0.54709,                0.42655,                0.48137,                0.18014,              0.0010839,              0.0010839,              0.0010839
                     96,                0.46461,                0.48788,                0.16067,                0.88481,                0.89111,                0.93396,                0.55264,                0.41617,                0.48351,                0.17518,               0.001074,               0.001074,               0.001074
                     97,                0.46712,                0.48546,                0.16295,                0.88314,                0.89029,                0.93269,                0.55404,                0.41605,                0.48109,                0.17404,              0.0010642,              0.0010642,              0.0010642
                     98,                0.46569,                0.47861,                0.16414,                0.89308,                0.87137,                0.93246,                0.54942,                0.42353,                0.49197,                 0.1762,              0.0010543,              0.0010543,              0.0010543
                     99,                0.46525,                0.48694,                0.16242,                  0.895,                0.88914,                0.94205,                0.55203,                 0.4212,                0.48626,                0.17601,              0.0010445,              0.0010445,              0.0010445
                    100,                0.46853,                0.48612,                0.16374,                0.89143,                0.89344,                0.93556,                0.55238,                0.41722,                 0.4873,                 0.1757,              0.0010346,              0.0010346,              0.0010346
                    101,                0.47127,                0.48447,                0.16199,                0.87869,                0.88589,                0.93396,                0.54526,                0.42586,                  0.492,                0.17794,              0.0010248,              0.0010248,              0.0010248
                    102,                0.47287,                 0.4852,                0.16406,                0.88093,                0.90108,                0.94271,                0.55448,                 0.4177,                0.47627,                0.17506,              0.0010149,              0.0010149,              0.0010149
                    103,                  0.473,                0.48935,                 0.1642,                0.89356,                0.89086,                0.94484,                0.55685,                0.41774,                0.47697,                0.17732,              0.0010051,              0.0010051,              0.0010051
                    104,                 0.4568,                0.48028,                 0.1574,                0.87876,                0.90692,                0.94494,                  0.565,                0.41192,                0.47301,                0.17173,             0.00099522,             0.00099522,             0.00099522
                    105,                0.45748,                0.48008,                0.15992,                0.89701,                0.89289,                0.94216,                0.56453,                0.41319,                0.47669,                0.17378,             0.00098537,             0.00098537,             0.00098537
                    106,                0.46169,                0.47702,                0.16013,                0.90263,                0.88368,                0.94957,                0.56989,                0.40926,                0.47426,                0.16896,             0.00097552,             0.00097552,             0.00097552
                    107,                0.45338,                0.48116,                0.15407,                0.88945,                0.88629,                0.93584,                0.55783,                0.41567,                0.47704,                0.17378,             0.00096567,             0.00096567,             0.00096567
                    108,                 0.4581,                0.48169,                0.15634,                0.89388,                0.89759,                0.94985,                 0.5757,                0.40512,                0.46995,                0.16623,             0.00095582,             0.00095582,             0.00095582
                    109,                0.45023,                0.47548,                0.15685,                0.86703,                0.90782,                0.94199,                0.56375,                0.40976,                0.48586,                0.17212,             0.00094597,             0.00094597,             0.00094597
                    110,                0.44808,                0.47469,                0.15868,                0.90662,                 0.8906,                0.95022,                0.56966,                0.40835,                0.47165,                0.17161,             0.00093612,             0.00093612,             0.00093612
                    111,                0.44655,                0.47449,                0.15223,                0.90737,                0.89417,                 0.9513,                0.57156,                0.40699,                0.46669,                0.16959,             0.00092627,             0.00092627,             0.00092627
                    112,                0.44882,                0.46889,                0.15468,                0.88676,                0.90288,                0.94086,                0.57184,                0.40901,                 0.4718,                0.16937,             0.00091642,             0.00091642,             0.00091642
                    113,                0.45255,                0.47676,                0.15559,                0.89657,                0.89029,                0.94635,                0.57098,                0.40896,                0.47858,                0.16985,             0.00090657,             0.00090657,             0.00090657
                    114,                0.45061,                0.47425,                0.15841,                 0.8917,                0.91097,                0.95137,                0.57671,                0.40454,                0.47627,                0.16883,             0.00089672,             0.00089672,             0.00089672
                    115,                0.44533,                0.47625,                0.15494,                0.90607,                0.89344,                0.94601,                0.56978,                 0.4084,                0.47202,                0.17079,             0.00088687,             0.00088687,             0.00088687
                    116,                0.44621,                0.47069,                 0.1523,                0.89731,                0.90368,                0.94784,                 0.5744,                0.40678,                0.47237,                0.17061,             0.00087701,             0.00087701,             0.00087701
                    117,                0.44394,                0.47043,                0.15177,                0.90213,                0.89525,                0.94822,                0.58049,                0.39902,                0.47505,                0.16467,             0.00086716,             0.00086716,             0.00086716
                    118,                0.44153,                0.46749,                 0.1514,                0.88937,                0.90513,                0.94868,                0.57743,                0.39948,                 0.4715,                0.16488,             0.00085731,             0.00085731,             0.00085731
                    119,                0.43711,                0.46837,                0.15098,                0.91352,                0.90108,                0.95624,                0.58389,                 0.3993,                0.46327,                0.16372,             0.00084746,             0.00084746,             0.00084746
                    120,                 0.4453,                0.46798,                0.15565,                0.91692,                0.89074,                 0.9538,                0.58075,                 0.3977,                0.46538,                0.16418,             0.00083761,             0.00083761,             0.00083761
                    121,                0.44081,                 0.4694,                0.15212,                0.90692,                0.89883,                 0.9523,                0.57817,                0.40316,                0.46853,                0.16626,             0.00082776,             0.00082776,             0.00082776
                    122,                 0.4377,                0.46524,                0.14965,                0.91506,                0.89127,                0.95326,                0.58023,                0.39738,                0.47181,                0.16429,             0.00081791,             0.00081791,             0.00081791
                    123,                0.44242,                0.46862,                0.15034,                0.91132,                0.89793,                 0.9537,                0.57946,                0.39959,                 0.4693,                0.16582,             0.00080806,             0.00080806,             0.00080806
                    124,                0.44108,                  0.467,                0.15243,                0.90524,                0.89776,                0.94989,                 0.5691,                0.41047,                0.46416,                0.16996,             0.00079821,             0.00079821,             0.00079821
                    125,                 0.4413,                0.46842,                0.15119,                0.91212,                0.90108,                0.95158,                0.57775,                0.40071,                0.47093,                0.16549,             0.00078836,             0.00078836,             0.00078836
                    126,                0.44003,                0.47137,                0.15247,                0.91188,                0.89797,                0.95081,                0.57559,                0.40069,                0.46733,                0.16745,             0.00077851,             0.00077851,             0.00077851
                    127,                 0.4455,                0.46491,                0.15369,                0.89908,                0.90927,                0.95161,                 0.5776,                0.40221,                0.47634,                0.16727,             0.00076866,             0.00076866,             0.00076866
                    128,                0.43259,                 0.4643,                0.14756,                0.89598,                0.91097,                0.95271,                0.57644,                0.40319,                0.46675,                0.16664,             0.00075881,             0.00075881,             0.00075881
                    129,                 0.4381,                0.47372,                0.15117,                0.91002,                0.89344,                0.94924,                0.57848,                0.40268,                0.47432,                0.16672,             0.00074896,             0.00074896,             0.00074896
                    130,                0.44467,                0.47575,                0.15386,                0.90482,                0.89793,                0.95031,                0.57473,                0.40491,                0.47208,                0.16801,              0.0007391,              0.0007391,              0.0007391
                    131,                0.43321,                0.46114,                0.15113,                0.90005,                0.90698,                0.95347,                0.58261,                0.40047,                0.46057,                0.16487,             0.00072925,             0.00072925,             0.00072925
                    132,                0.42891,                0.46064,                0.14854,                0.91064,                0.90378,                0.95326,                0.58363,                0.39881,                 0.4715,                0.16428,              0.0007194,              0.0007194,              0.0007194
                    133,                0.43193,                0.45918,                0.14715,                 0.9169,                0.89796,                 0.9586,                 0.5859,                0.39695,                0.46569,                0.16369,             0.00070955,             0.00070955,             0.00070955
                    134,                0.43108,                0.46243,                0.14732,                0.91971,                0.89299,                0.95273,                0.58601,                0.39616,                0.46225,                0.16127,              0.0006997,              0.0006997,              0.0006997
                    135,                0.42341,                0.45831,                0.14316,                0.91203,                0.89973,                0.95596,                0.59336,                0.38934,                0.46495,                0.15868,             0.00068985,             0.00068985,             0.00068985
                    136,                0.42046,                0.45881,                0.14195,                0.91554,                0.89613,                0.95984,                0.59441,                0.39061,                0.45875,                0.15978,                0.00068,                0.00068,                0.00068
                    137,                0.42022,                0.45799,                0.14121,                0.90719,                0.90558,                0.95735,                0.59401,                0.38956,                 0.4631,                0.16006,             0.00067015,             0.00067015,             0.00067015
                    138,                0.41959,                0.46085,                0.14216,                0.90053,                0.90333,                0.95492,                0.59076,                0.39294,                0.47785,                 0.1629,              0.0006603,              0.0006603,              0.0006603
                    139,                0.42103,                0.46163,                0.14236,                0.90581,                0.90558,                0.95211,                0.58632,                0.39248,                 0.4645,                0.16146,             0.00065045,             0.00065045,             0.00065045
                    140,                0.42204,                0.46106,                0.14493,                0.92578,                0.88614,                 0.9545,                0.59445,                0.38748,                0.46722,                0.15893,              0.0006406,              0.0006406,              0.0006406
                    141,                0.41854,                0.45473,                0.14333,                 0.9139,                0.90204,                0.95558,                0.59153,                0.39415,                0.46616,                0.16202,             0.00063075,             0.00063075,             0.00063075
                    142,                0.42099,                0.45728,                0.14518,                0.91562,                0.90269,                0.95724,                0.59861,                0.38463,                0.46119,                0.15593,              0.0006209,              0.0006209,              0.0006209
                    143,                0.41736,                0.45178,                0.14254,                0.90539,                0.90423,                0.95474,                0.59583,                0.38912,                 0.4634,                0.15937,             0.00061104,             0.00061104,             0.00061104
                    144,                0.41528,                0.45477,                0.13937,                0.91295,                0.90065,                0.95637,                0.60066,                0.38188,                0.46486,                0.15545,             0.00060119,             0.00060119,             0.00060119
                    145,                0.41835,                0.45706,                0.14162,                0.91084,                0.90063,                0.95728,                0.59975,                0.38366,                 0.4614,                0.15537,             0.00059134,             0.00059134,             0.00059134
