               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.028171,            0.036509,                   0,             0.90258,             0.89982,             0.94221,             0.54322,            0.032293,            0.035374,                   0,            0.006897,            0.006897,            0.006897
                  65,            0.028515,            0.037509,                   0,             0.90724,             0.93227,             0.95899,             0.60247,             0.02875,            0.033121,                   0,           0.0068478,           0.0068478,           0.0068478
                  66,            0.027773,            0.037169,                   0,             0.93577,             0.92401,             0.96818,             0.61949,            0.028182,            0.032309,                   0,           0.0067985,           0.0067985,           0.0067985
                  67,            0.027372,            0.036349,                   0,             0.94376,             0.92311,              0.9706,             0.62063,            0.028321,            0.032535,                   0,           0.0067493,           0.0067493,           0.0067493
                  68,            0.027981,            0.036701,                   0,             0.93474,             0.91412,             0.96148,             0.60887,            0.028525,            0.032636,                   0,              0.0067,              0.0067,              0.0067
                  69,            0.027471,            0.036045,                   0,             0.91467,             0.93026,              0.9659,             0.61486,            0.028291,            0.032574,                   0,           0.0066507,           0.0066507,           0.0066507
                  70,            0.027626,            0.036004,                   0,              0.9365,             0.92846,              0.9678,             0.62051,            0.027924,            0.033009,                   0,           0.0066015,           0.0066015,           0.0066015
                  71,            0.027138,            0.035859,                   0,             0.93437,             0.92896,             0.96825,             0.62463,            0.027767,            0.031868,                   0,           0.0065522,           0.0065522,           0.0065522
                  72,            0.027078,            0.035858,                   0,             0.93438,             0.92536,              0.9679,             0.62485,            0.027919,            0.032515,                   0,            0.006503,            0.006503,            0.006503
                  73,            0.027201,            0.035242,                   0,             0.93357,             0.92356,             0.96653,             0.62403,            0.027914,             0.03279,                   0,           0.0064537,           0.0064537,           0.0064537
                  74,            0.027066,            0.035238,                   0,             0.92188,             0.92716,             0.96682,             0.60822,            0.028992,            0.032906,                   0,           0.0064045,           0.0064045,           0.0064045
                  75,            0.026383,            0.035177,                   0,              0.9311,             0.92973,             0.96771,              0.6269,            0.027859,            0.032708,                   0,           0.0063552,           0.0063552,           0.0063552
                  76,            0.026436,             0.03482,                   0,             0.93252,             0.91817,             0.96803,             0.63016,             0.02746,            0.032475,                   0,            0.006306,            0.006306,            0.006306
