                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
76,1.2826,0.63387,1.3904,0.90962,0.89838,0.95454,0.60232,1.3291,0.61732,1.5508,0.006337,0.006337,0.006337
77,1.2757,0.63022,1.3888,0.91025,0.8801,0.9489,0.60547,1.3173,0.61198,1.5545,0.0062875,0.0062875,0.0062875
78,1.2703,0.62906,1.3874,0.91536,0.88506,0.95391,0.6078,1.3161,0.61402,1.542,0.006238,0.006238,0.006238
79,1.2804,0.62896,1.3824,0.8792,0.91634,0.94956,0.60573,1.3074,0.60958,1.5446,0.0061885,0.0061885,0.0061885
80,1.2667,0.61892,1.3926,0.9153,0.89409,0.95549,0.61173,1.3009,0.59554,1.5363,0.006139,0.006139,0.006139
81,1.2643,0.61691,1.3768,0.88968,0.90153,0.94596,0.59414,1.3399,0.62711,1.5576,0.0060895,0.0060895,0.0060895
82,1.2499,0.61525,1.3766,0.90875,0.89074,0.95152,0.59883,1.3258,0.61574,1.551,0.00604,0.00604,0.00604
83,1.2566,0.61749,1.3845,0.90967,0.89652,0.9551,0.61614,1.2893,0.58349,1.5328,0.0059905,0.0059905,0.0059905
84,1.2453,0.60663,1.3627,0.91682,0.88444,0.94927,0.60698,1.3107,0.60522,1.5516,0.005941,0.005941,0.005941
85,1.2413,0.60582,1.3544,0.90595,0.90091,0.95639,0.6118,1.3001,0.59434,1.5389,0.0058915,0.0058915,0.0058915
86,1.2308,0.60404,1.3479,0.90358,0.90917,0.95714,0.621,1.2918,0.587,1.5331,0.005842,0.005842,0.005842
87,1.2332,0.60341,1.3557,0.89774,0.91974,0.96036,0.62104,1.2966,0.58508,1.5331,0.0057925,0.0057925,0.0057925
88,1.2416,0.60117,1.3525,0.91543,0.90043,0.96026,0.62862,1.2737,0.56945,1.512,0.005743,0.005743,0.005743
89,1.2349,0.599,1.354,0.89417,0.91232,0.95675,0.61738,1.294,0.60967,1.5254,0.0056935,0.0056935,0.0056935
90,1.2224,0.59832,1.3467,0.92524,0.89041,0.9613,0.6268,1.2668,0.57327,1.5077,0.005644,0.005644,0.005644
91,1.2182,0.5971,1.3541,0.89921,0.90962,0.95714,0.61912,1.291,0.58295,1.5214,0.0055945,0.0055945,0.0055945
92,1.2222,0.59608,1.3463,0.90991,0.90831,0.95863,0.62278,1.2872,0.58824,1.5304,0.005545,0.005545,0.005545
93,1.2135,0.59306,1.3361,0.9,0.91461,0.95854,0.62034,1.2778,0.58261,1.5226,0.0054955,0.0054955,0.0054955
94,1.2136,0.58974,1.339,0.91067,0.90063,0.95694,0.61741,1.2955,0.57765,1.5259,0.005446,0.005446,0.005446
95,1.2211,0.58984,1.3547,0.92347,0.90065,0.9619,0.6307,1.2623,0.56443,1.5074,0.0053965,0.0053965,0.0053965
96,1.2161,0.58759,1.3444,0.92902,0.90018,0.96012,0.62979,1.2694,0.56811,1.5101,0.005347,0.005347,0.005347
97,1.2002,0.5863,1.3245,0.9148,0.91322,0.96293,0.63736,1.257,0.55977,1.5005,0.0052975,0.0052975,0.0052975
98,1.2027,0.57923,1.3288,0.9036,0.91592,0.96041,0.62677,1.2819,0.56587,1.5299,0.005248,0.005248,0.005248
99,1.1992,0.58142,1.3292,0.91433,0.91637,0.96156,0.62997,1.2632,0.56753,1.5079,0.0051985,0.0051985,0.0051985
100,1.1871,0.57847,1.3249,0.91727,0.91457,0.96308,0.63751,1.2557,0.56192,1.4994,0.005149,0.005149,0.005149
101,1.1943,0.58284,1.3261,0.91558,0.91676,0.96209,0.6314,1.2624,0.56596,1.503,0.0050995,0.0050995,0.0050995
102,1.1902,0.57208,1.3094,0.91904,0.89831,0.95828,0.62002,1.301,0.58248,1.5468,0.00505,0.00505,0.00505
103,1.1886,0.57994,1.323,0.93516,0.89973,0.9629,0.6356,1.2551,0.55783,1.5003,0.0050005,0.0050005,0.0050005
104,1.18,0.56882,1.3208,0.9179,0.90485,0.9586,0.62833,1.2651,0.56694,1.5145,0.004951,0.004951,0.004951
105,1.178,0.5679,1.3054,0.9059,0.91906,0.96075,0.63731,1.2522,0.55734,1.4908,0.0049015,0.0049015,0.0049015
106,1.1727,0.56342,1.3062,0.90741,0.92221,0.96366,0.6326,1.2634,0.5571,1.5064,0.004852,0.004852,0.004852
107,1.1721,0.56153,1.3107,0.92876,0.90866,0.96536,0.63948,1.2448,0.55051,1.4893,0.0048025,0.0048025,0.0048025
108,1.1628,0.56589,1.309,0.92501,0.90647,0.96412,0.6488,1.2363,0.55582,1.4797,0.004753,0.004753,0.004753
109,1.1593,0.55896,1.3028,0.92881,0.90349,0.96696,0.63671,1.2603,0.55465,1.5023,0.0047035,0.0047035,0.0047035
110,1.1639,0.56052,1.3084,0.91908,0.91772,0.96613,0.64129,1.2521,0.54705,1.4922,0.004654,0.004654,0.004654
111,1.1579,0.55684,1.285,0.91672,0.92055,0.96358,0.6408,1.2479,0.5483,1.495,0.0046045,0.0046045,0.0046045
112,1.1498,0.55912,1.3002,0.9232,0.90799,0.96044,0.63555,1.2522,0.55101,1.4942,0.004555,0.004555,0.004555
113,1.1457,0.5568,1.299,0.91959,0.90962,0.96029,0.64243,1.2327,0.55119,1.4779,0.0045055,0.0045055,0.0045055
114,1.1508,0.55536,1.2935,0.91868,0.91817,0.96396,0.64471,1.2335,0.5455,1.4833,0.004456,0.004456,0.004456
115,1.1361,0.5534,1.288,0.93414,0.91199,0.96812,0.64548,1.2384,0.5368,1.4825,0.0044065,0.0044065,0.0044065
116,1.1451,0.55055,1.2728,0.92397,0.91817,0.96891,0.64758,1.232,0.54272,1.4778,0.004357,0.004357,0.004357
117,1.1306,0.54795,1.2793,0.91986,0.92581,0.96515,0.64115,1.2398,0.54772,1.4895,0.0043075,0.0043075,0.0043075
118,1.1392,0.54752,1.2849,0.93549,0.90917,0.96808,0.64743,1.2323,0.54043,1.4765,0.004258,0.004258,0.004258
119,1.1298,0.54535,1.2757,0.92873,0.9141,0.96537,0.64495,1.2315,0.53993,1.4799,0.0042085,0.0042085,0.0042085
120,1.1141,0.53868,1.2768,0.92113,0.92221,0.96548,0.64829,1.2277,0.53068,1.4766,0.004159,0.004159,0.004159
121,1.1146,0.5394,1.2696,0.92588,0.92108,0.96819,0.6543,1.2171,0.52767,1.4659,0.0041095,0.0041095,0.0041095
122,1.1281,0.54291,1.2926,0.9277,0.92176,0.9667,0.65217,1.2241,0.53357,1.4719,0.00406,0.00406,0.00406
123,1.1252,0.538,1.2794,0.91536,0.933,0.9672,0.65996,1.2196,0.52957,1.4663,0.0040105,0.0040105,0.0040105
124,1.1219,0.53441,1.2736,0.93049,0.92094,0.96914,0.65568,1.2179,0.52279,1.4664,0.003961,0.003961,0.003961
125,1.1154,0.53722,1.2671,0.92625,0.92049,0.96583,0.6516,1.2304,0.52961,1.4834,0.0039115,0.0039115,0.0039115
126,1.1178,0.53746,1.2755,0.93792,0.91142,0.96744,0.65272,1.2212,0.52786,1.472,0.003862,0.003862,0.003862
127,1.1198,0.54112,1.2754,0.91722,0.92176,0.96428,0.65238,1.222,0.5327,1.4801,0.0038125,0.0038125,0.0038125
128,1.099,0.53095,1.2687,0.92766,0.91677,0.96601,0.65313,1.2114,0.5325,1.4602,0.003763,0.003763,0.003763
129,1.1102,0.53487,1.2734,0.91997,0.9321,0.96797,0.64924,1.2208,0.52794,1.4727,0.0037135,0.0037135,0.0037135
130,1.0957,0.52819,1.2528,0.93454,0.91789,0.96914,0.65488,1.2152,0.52889,1.4648,0.003664,0.003664,0.003664
131,1.0954,0.52562,1.2565,0.92394,0.92266,0.96597,0.65681,1.2097,0.52596,1.469,0.0036145,0.0036145,0.0036145
132,1.0876,0.52167,1.2622,0.92412,0.92176,0.96794,0.65843,1.2092,0.52541,1.4717,0.003565,0.003565,0.003565
133,1.1023,0.52474,1.2553,0.92802,0.92752,0.97124,0.6593,1.2022,0.51793,1.4602,0.0035155,0.0035155,0.0035155
134,1.0873,0.52129,1.2591,0.92646,0.92899,0.96982,0.66154,1.1991,0.51685,1.46,0.003466,0.003466,0.003466
135,1.0818,0.51773,1.255,0.92397,0.93076,0.96753,0.66323,1.1983,0.50887,1.4621,0.0034165,0.0034165,0.0034165
136,1.0877,0.51724,1.2509,0.93443,0.92041,0.97132,0.66382,1.1988,0.51543,1.4546,0.003367,0.003367,0.003367
137,1.0757,0.51701,1.2443,0.92916,0.92595,0.96882,0.66613,1.1931,0.51563,1.4495,0.0033175,0.0033175,0.0033175
138,1.0794,0.51992,1.245,0.93076,0.91817,0.96773,0.66432,1.191,0.52056,1.4552,0.003268,0.003268,0.003268
139,1.0738,0.51045,1.2381,0.93145,0.9286,0.96989,0.66073,1.2015,0.51821,1.4638,0.0032185,0.0032185,0.0032185
140,1.0639,0.51063,1.2509,0.92503,0.92649,0.97262,0.66214,1.2031,0.52024,1.4579,0.003169,0.003169,0.003169
141,1.0581,0.51026,1.2317,0.93485,0.92221,0.97233,0.66602,1.1876,0.51099,1.4556,0.0031195,0.0031195,0.0031195
142,1.0668,0.5164,1.2427,0.92503,0.9321,0.97,0.6678,1.1855,0.51307,1.4502,0.00307,0.00307,0.00307
143,1.0639,0.50871,1.232,0.9214,0.93828,0.97181,0.66899,1.1803,0.50815,1.4447,0.0030205,0.0030205,0.0030205
144,1.0601,0.50692,1.2269,0.93505,0.91913,0.96994,0.66612,1.1894,0.51879,1.4442,0.002971,0.002971,0.002971
145,1.0468,0.50612,1.2177,0.92919,0.92636,0.9687,0.66921,1.1821,0.51381,1.4467,0.0029215,0.0029215,0.0029215
146,1.0562,0.50656,1.2281,0.93511,0.91682,0.96954,0.66825,1.1863,0.51168,1.4519,0.002872,0.002872,0.002872
147,1.0444,0.50483,1.2207,0.92357,0.9291,0.97195,0.66524,1.1843,0.51186,1.4454,0.0028225,0.0028225,0.0028225
148,1.0564,0.50006,1.2296,0.93298,0.92635,0.97157,0.66759,1.1808,0.50686,1.4496,0.002773,0.002773,0.002773
149,1.0394,0.49956,1.2246,0.92774,0.92948,0.97036,0.66393,1.1846,0.50934,1.442,0.0027235,0.0027235,0.0027235
150,1.0471,0.49895,1.2204,0.93223,0.91502,0.9698,0.66694,1.1826,0.51148,1.4498,0.002674,0.002674,0.002674
151,1.0305,0.49659,1.2162,0.93667,0.92536,0.97004,0.66947,1.1817,0.50576,1.448,0.0026245,0.0026245,0.0026245
152,1.0452,0.50234,1.2334,0.93603,0.92764,0.96947,0.66991,1.1737,0.50453,1.4389,0.002575,0.002575,0.002575
