                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
111,0.71598,0.34558,1.018,0.94194,0.94096,0.97353,0.73546,1.015,0.43433,1.3835,0.0046045,0.0046045,0.0046045
112,0.70085,0.33597,1.0199,0.94732,0.93794,0.97386,0.7354,1.0199,0.4449,1.3866,0.004555,0.004555,0.004555
113,0.70069,0.33949,1.0205,0.94871,0.92328,0.97142,0.73192,1.0275,0.44871,1.3942,0.0045055,0.0045055,0.0045055
114,0.69279,0.33396,1.0097,0.94751,0.93525,0.97276,0.73752,1.0242,0.44403,1.3963,0.004456,0.004456,0.004456
115,0.68487,0.33303,1.0082,0.94565,0.9384,0.97213,0.72927,1.0121,0.43756,1.3923,0.0044065,0.0044065,0.0044065
116,0.69848,0.33551,1.0002,0.94354,0.9348,0.97336,0.73646,1.0159,0.43696,1.3986,0.004357,0.004357,0.004357
117,0.68378,0.33068,1.0087,0.94154,0.9342,0.97077,0.7291,1.0222,0.44715,1.4094,0.0043075,0.0043075,0.0043075
118,0.67721,0.32825,1.0023,0.9503,0.93435,0.9735,0.73804,1.0044,0.42995,1.3928,0.004258,0.004258,0.004258
119,0.67905,0.32947,1.0022,0.93922,0.93805,0.97099,0.73849,0.99732,0.43425,1.388,0.0042085,0.0042085,0.0042085
120,0.66188,0.32092,0.99732,0.94638,0.94065,0.97375,0.73898,1.0085,0.42472,1.3982,0.004159,0.004159,0.004159
121,0.662,0.32151,0.99405,0.9438,0.9363,0.97328,0.7437,0.99554,0.4299,1.3909,0.0041095,0.0041095,0.0041095
122,0.66196,0.32408,1.0012,0.94885,0.9348,0.97549,0.74362,1.0012,0.42894,1.3919,0.00406,0.00406,0.00406
123,0.65985,0.31863,0.99384,0.94801,0.93255,0.96927,0.73826,0.99714,0.43684,1.3985,0.0040105,0.0040105,0.0040105
124,0.6602,0.31835,0.99524,0.94404,0.9405,0.97302,0.74404,0.99065,0.42678,1.3895,0.003961,0.003961,0.003961
125,0.65879,0.32298,0.99052,0.94816,0.933,0.97019,0.73746,1.0053,0.4389,1.4058,0.0039115,0.0039115,0.0039115
126,0.65026,0.31574,0.99113,0.9471,0.93389,0.97355,0.74526,0.99365,0.43243,1.3928,0.003862,0.003862,0.003862
