               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
65,1.701,0.85236,1.6836,0.8826,0.91142,0.95227,0.60925,0,0,0,0.0068478,0.0068478,0.0068478
66,1.6916,0.84153,1.6959,0.90549,0.90032,0.9551,0.60824,0,0,0,0.0067985,0.0067985,0.0067985
67,1.6726,0.83724,1.6905,0.9109,0.89173,0.95585,0.59741,0,0,0,0.0067493,0.0067493,0.0067493
68,1.705,0.86711,1.7188,0.89653,0.8961,0.94687,0.59702,0,0,0,0.0067,0.0067,0.0067
69,1.6838,0.84126,1.7121,0.89974,0.90827,0.95029,0.61055,0,0,0,0.0066507,0.0066507,0.0066507
70,1.673,0.82839,1.6731,0.89139,0.88534,0.94874,0.59133,0,0,0,0.0066015,0.0066015,0.0066015
71,1.6699,0.82747,1.6808,0.89565,0.90311,0.95461,0.60702,0,0,0,0.0065522,0.0065522,0.0065522
72,1.6595,0.82066,1.6791,0.89895,0.90401,0.95781,0.61404,0,0,0,0.006503,0.006503,0.006503
73,1.6465,0.81685,1.6707,0.88818,0.91789,0.95751,0.61306,0,0,0,0.0064537,0.0064537,0.0064537
74,1.6678,0.8252,1.6625,0.9091,0.89938,0.95882,0.619,0,0,0,0.0064045,0.0064045,0.0064045
75,1.6484,0.81168,1.6692,0.90391,0.90468,0.95483,0.61833,0,0,0,0.0063552,0.0063552,0.0063552
76,1.6402,0.82108,1.6661,0.90252,0.91584,0.96274,0.6225,0,0,0,0.006306,0.006306,0.006306
77,1.6164,0.80335,1.6553,0.90348,0.90493,0.95919,0.62263,0,0,0,0.0062567,0.0062567,0.0062567
78,1.6199,0.79528,1.6313,0.91149,0.91052,0.9601,0.62593,0,0,0,0.0062075,0.0062075,0.0062075
79,1.6115,0.79787,1.6509,0.90931,0.91966,0.96416,0.62656,0,0,0,0.0061582,0.0061582,0.0061582
80,1.6041,0.78548,1.6375,0.90402,0.919,0.95974,0.62333,0,0,0,0.006109,0.006109,0.006109
81,1.6433,0.8061,1.6661,0.90248,0.91129,0.9604,0.62219,0,0,0,0.0060597,0.0060597,0.0060597
82,1.6088,0.79022,1.6343,0.90767,0.91062,0.95721,0.62793,0,0,0,0.0060104,0.0060104,0.0060104
83,1.608,0.77957,1.6349,0.90643,0.91038,0.95978,0.62929,0,0,0,0.0059612,0.0059612,0.0059612
84,1.5686,0.7705,1.6504,0.93418,0.89388,0.96311,0.64267,0,0,0,0.0059119,0.0059119,0.0059119
85,1.5697,0.76497,1.6162,0.91639,0.91817,0.96355,0.63929,0,0,0,0.0058627,0.0058627,0.0058627
86,1.5857,0.77994,1.632,0.91286,0.9091,0.96141,0.63856,0,0,0,0.0058134,0.0058134,0.0058134
87,1.5767,0.76907,1.6202,0.92859,0.89748,0.96325,0.64536,0,0,0,0.0057642,0.0057642,0.0057642
88,1.5561,0.75907,1.6255,0.92519,0.91502,0.96527,0.64485,0,0,0,0.0057149,0.0057149,0.0057149
89,1.5705,0.77232,1.6201,0.91802,0.91135,0.96182,0.64395,0,0,0,0.0056657,0.0056657,0.0056657
90,1.5747,0.77234,1.6246,0.91711,0.92041,0.96526,0.64589,0,0,0,0.0056164,0.0056164,0.0056164
