                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
43,1.3833,0.69939,1.4124,1.4537,0.7118,1.4223,0.87599,0.85567,0.9295,0.55296,1.3405,0.65465,1.46,1.374,0.60467,1.4694,0.0015961,0.0015961,0.0015961
44,1.3501,0.68772,1.3835,1.4175,0.70434,1.3931,0.88265,0.84218,0.93471,0.57056,1.2924,0.64572,1.4291,1.3312,0.59337,1.437,0.0015863,0.0015863,0.0015863
45,1.3311,0.68315,1.3741,1.3954,0.68798,1.3854,0.87823,0.8626,0.9304,0.55963,1.3213,0.63823,1.4583,1.3506,0.5997,1.4719,0.0015764,0.0015764,0.0015764
46,1.3371,0.67108,1.3687,1.4007,0.68388,1.3798,0.87472,0.86019,0.93508,0.57123,1.315,0.63235,1.4457,1.336,0.59079,1.4567,0.0015666,0.0015666,0.0015666
47,1.3227,0.66359,1.3617,1.3901,0.66878,1.3721,0.85465,0.86915,0.92919,0.56292,1.3084,0.63926,1.4499,1.339,0.59191,1.4552,0.0015567,0.0015567,0.0015567
48,1.3079,0.66057,1.3645,1.3694,0.67616,1.3749,0.88626,0.86185,0.93609,0.56593,1.3289,0.63783,1.4635,1.3642,0.59786,1.4744,0.0015469,0.0015469,0.0015469
49,1.3091,0.65678,1.3713,1.3746,0.66736,1.3802,0.88128,0.87445,0.94203,0.57383,1.3056,0.6269,1.4468,1.3253,0.58632,1.4395,0.001537,0.001537,0.001537
50,1.2863,0.64992,1.3453,1.3528,0.65782,1.3517,0.85657,0.87725,0.93242,0.55285,1.3486,0.64496,1.4875,1.3771,0.61798,1.476,0.0015272,0.0015272,0.0015272
51,1.2848,0.64212,1.3413,1.3508,0.65471,1.3498,0.86452,0.89209,0.93859,0.58062,1.2766,0.61757,1.4367,1.3136,0.56611,1.4539,0.0015173,0.0015173,0.0015173
52,1.2712,0.63551,1.3356,1.3387,0.63564,1.3519,0.87399,0.87638,0.93817,0.58172,1.2938,0.62665,1.4279,1.3221,0.57692,1.4384,0.0015075,0.0015075,0.0015075
53,1.2588,0.6374,1.3325,1.323,0.63868,1.3452,0.88443,0.8809,0.94705,0.58991,1.2638,0.61149,1.4191,1.2922,0.55907,1.4311,0.0014976,0.0014976,0.0014976
54,1.2581,0.61501,1.3248,1.3261,0.60841,1.3384,0.89388,0.87815,0.94431,0.58314,1.28,0.59922,1.4267,1.3106,0.5532,1.4333,0.0014878,0.0014878,0.0014878
55,1.2699,0.63242,1.3348,1.3356,0.63674,1.3483,0.87314,0.87268,0.93564,0.57982,1.2838,0.62336,1.4355,1.3127,0.5927,1.4435,0.0014779,0.0014779,0.0014779
56,1.2552,0.62376,1.3175,1.3146,0.61985,1.3297,0.89376,0.88137,0.94623,0.5916,1.2761,0.59799,1.4236,1.3087,0.56017,1.4412,0.0014681,0.0014681,0.0014681
57,1.2298,0.60849,1.31,1.2887,0.60889,1.3231,0.89533,0.88075,0.9484,0.59407,1.2526,0.59658,1.4051,1.2835,0.55289,1.4147,0.0014582,0.0014582,0.0014582
58,1.2225,0.59964,1.3103,1.2883,0.59554,1.3253,0.89308,0.88534,0.94909,0.59396,1.2613,0.59273,1.4083,1.2964,0.53888,1.4213,0.0014484,0.0014484,0.0014484
59,1.2275,0.61265,1.3021,1.289,0.60817,1.3122,0.89905,0.88902,0.94843,0.5984,1.2644,0.59224,1.4134,1.2944,0.54358,1.4209,0.0014385,0.0014385,0.0014385
60,1.21,0.59405,1.296,1.2767,0.59185,1.3129,0.87645,0.88991,0.9457,0.59723,1.2455,0.59646,1.4082,1.2756,0.54521,1.4187,0.0014287,0.0014287,0.0014287
61,1.2146,0.60453,1.305,1.28,0.5981,1.3162,0.88087,0.88772,0.94943,0.59431,1.2589,0.58873,1.4123,1.2955,0.53929,1.4276,0.0014188,0.0014188,0.0014188
62,1.1984,0.59701,1.2869,1.265,0.58988,1.3009,0.8915,0.89164,0.952,0.59395,1.2583,0.58813,1.4084,1.2976,0.53863,1.4196,0.001409,0.001409,0.001409
63,1.1927,0.58687,1.2788,1.2566,0.58487,1.2905,0.88517,0.90243,0.95189,0.6042,1.2391,0.56341,1.392,1.2655,0.51963,1.3992,0.0013991,0.0013991,0.0013991
64,1.1809,0.57723,1.2682,1.2504,0.56935,1.2869,0.89582,0.89695,0.95157,0.59457,1.2594,0.57386,1.4024,1.2915,0.53443,1.425,0.0013893,0.0013893,0.0013893
65,1.179,0.57291,1.2586,1.2455,0.56326,1.278,0.90037,0.88579,0.94951,0.61414,1.2147,0.56438,1.3718,1.2496,0.51883,1.3982,0.0013794,0.0013794,0.0013794
66,1.158,0.56356,1.2565,1.224,0.55634,1.2752,0.90432,0.88579,0.9538,0.61236,1.2152,0.55799,1.3815,1.2533,0.51424,1.3999,0.0013696,0.0013696,0.0013696
67,1.1506,0.55483,1.2518,1.2183,0.54681,1.2678,0.90847,0.88309,0.95719,0.61177,1.2278,0.55857,1.3864,1.2656,0.50566,1.4031,0.0013597,0.0013597,0.0013597
68,1.1498,0.55513,1.2415,1.2187,0.54693,1.2539,0.89546,0.88585,0.94488,0.60508,1.2228,0.57121,1.3875,1.258,0.53075,1.391,0.0013499,0.0013499,0.0013499
69,1.1353,0.54891,1.2408,1.1962,0.53048,1.2502,0.88252,0.90737,0.95688,0.61637,1.2121,0.55855,1.3828,1.2363,0.51707,1.3835,0.00134,0.00134,0.00134
70,1.136,0.54988,1.2377,1.2004,0.53631,1.253,0.91217,0.88129,0.95522,0.61758,1.2166,0.54972,1.383,1.2438,0.50814,1.3916,0.0013301,0.0013301,0.0013301
71,1.1356,0.55105,1.2454,1.1995,0.54281,1.2611,0.91114,0.89902,0.95644,0.62151,1.1996,0.53765,1.383,1.2297,0.48559,1.3892,0.0013203,0.0013203,0.0013203
72,1.1284,0.54729,1.2466,1.1865,0.53741,1.2626,0.91166,0.88628,0.95776,0.61284,1.227,0.55935,1.378,1.2667,0.49789,1.394,0.0013104,0.0013104,0.0013104
73,1.1254,0.54369,1.2369,1.189,0.53379,1.2511,0.87705,0.90737,0.95357,0.61502,1.2066,0.54763,1.3831,1.2419,0.50081,1.3941,0.0013006,0.0013006,0.0013006
74,1.1249,0.54194,1.2371,1.1889,0.529,1.2518,0.91058,0.87905,0.95414,0.62038,1.2096,0.54119,1.3724,1.2347,0.50622,1.3781,0.0012907,0.0012907,0.0012907
75,1.1415,0.54113,1.2495,1.2034,0.52823,1.2636,0.9169,0.90063,0.96066,0.6253,1.2043,0.54009,1.3761,1.2368,0.48,1.3893,0.0012809,0.0012809,0.0012809
76,1.0918,0.53182,1.2129,1.155,0.5229,1.2287,0.90221,0.91547,0.96071,0.62589,1.1925,0.53137,1.3629,1.2268,0.48463,1.3761,0.001271,0.001271,0.001271
77,1.0917,0.52973,1.2146,1.1547,0.51368,1.2309,0.91267,0.90423,0.95968,0.62601,1.1994,0.53602,1.3781,1.2315,0.48094,1.3885,0.0012612,0.0012612,0.0012612
78,1.0914,0.52337,1.2183,1.1515,0.50765,1.2345,0.90527,0.91099,0.96255,0.62715,1.1902,0.5281,1.3668,1.216,0.47738,1.3766,0.0012513,0.0012513,0.0012513
79,1.0759,0.51476,1.2042,1.1377,0.50432,1.2221,0.91659,0.91007,0.96468,0.641,1.1596,0.51478,1.3428,1.1951,0.46361,1.3582,0.0012415,0.0012415,0.0012415
80,1.067,0.51368,1.199,1.1259,0.50133,1.2124,0.92952,0.88939,0.96263,0.63415,1.173,0.52027,1.3427,1.2073,0.4886,1.352,0.0012316,0.0012316,0.0012316
81,1.0691,0.51355,1.1907,1.1318,0.49512,1.2051,0.90558,0.91424,0.96001,0.63034,1.1747,0.52909,1.3606,1.2078,0.48282,1.3721,0.0012218,0.0012218,0.0012218
82,1.0692,0.51788,1.1933,1.1347,0.50147,1.2088,0.91768,0.89723,0.96029,0.63293,1.1695,0.52589,1.3458,1.2038,0.47976,1.3559,0.0012119,0.0012119,0.0012119
83,1.0619,0.50765,1.1969,1.1281,0.49395,1.2141,0.91392,0.91862,0.96378,0.64399,1.1463,0.50547,1.3405,1.1792,0.45913,1.3524,0.0012021,0.0012021,0.0012021
84,1.0498,0.50312,1.1828,1.1135,0.49527,1.1968,0.92685,0.90017,0.96144,0.63725,1.164,0.5181,1.3484,1.193,0.47366,1.3598,0.0011922,0.0011922,0.0011922
85,1.0343,0.50175,1.1811,1.0945,0.48162,1.1995,0.90351,0.90917,0.96157,0.63864,1.156,0.51135,1.3383,1.184,0.46806,1.3509,0.0011824,0.0011824,0.0011824
86,1.0319,0.49289,1.1789,1.0909,0.47136,1.197,0.90684,0.91547,0.9602,0.64055,1.1594,0.50697,1.351,1.1887,0.46555,1.3676,0.0011725,0.0011725,0.0011725
87,1.0245,0.49363,1.1794,1.0842,0.47591,1.1956,0.90261,0.91996,0.96297,0.64614,1.1428,0.50458,1.3346,1.171,0.45732,1.3464,0.0011627,0.0011627,0.0011627
88,1.0154,0.49208,1.1761,1.079,0.47851,1.1934,0.91201,0.91349,0.96405,0.64281,1.1596,0.50368,1.348,1.1883,0.46694,1.3605,0.0011528,0.0011528,0.0011528
89,1.0082,0.48284,1.1642,1.0693,0.47193,1.1832,0.91981,0.92041,0.96412,0.64849,1.1419,0.49987,1.3315,1.1711,0.45521,1.3407,0.001143,0.001143,0.001143
90,1.0045,0.48401,1.162,1.0643,0.46915,1.176,0.93077,0.90962,0.9682,0.64839,1.1354,0.49119,1.3274,1.1627,0.44712,1.3348,0.0011331,0.0011331,0.0011331
91,1.006,0.48361,1.1673,1.0679,0.46818,1.1814,0.93769,0.90063,0.9667,0.65114,1.1286,0.48775,1.3328,1.1574,0.44981,1.3325,0.0011233,0.0011233,0.0011233
92,1.0002,0.47879,1.1504,1.0612,0.46163,1.1622,0.92575,0.91637,0.96878,0.64882,1.1305,0.49777,1.3313,1.1582,0.45396,1.3357,0.0011134,0.0011134,0.0011134
93,1.0117,0.48421,1.1659,1.0733,0.46928,1.1787,0.919,0.90806,0.96387,0.64251,1.153,0.49592,1.3526,1.186,0.45397,1.3589,0.0011036,0.0011036,0.0011036
94,0.98182,0.47001,1.1506,1.0384,0.44886,1.166,0.92159,0.91431,0.96468,0.6492,1.136,0.49888,1.3298,1.167,0.46201,1.3383,0.0010937,0.0010937,0.0010937
