                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
122,0.4208,0.45816,0.14157,0.88919,0.90206,0.94752,0.58025,0.39988,0.47047,0.16342,0.00081791,0.00081791,0.00081791
123,0.42144,0.4535,0.13922,0.90138,0.89838,0.95052,0.58299,0.39781,0.46893,0.16431,0.00080806,0.00080806,0.00080806
124,0.41961,0.45068,0.1411,0.91473,0.89793,0.95663,0.58892,0.39332,0.45734,0.16108,0.00079821,0.00079821,0.00079821
125,0.41838,0.44888,0.13934,0.912,0.89164,0.94803,0.58139,0.40329,0.46592,0.16578,0.00078836,0.00078836,0.00078836
126,0.42773,0.44893,0.14446,0.91278,0.89793,0.95153,0.5873,0.39699,0.46034,0.16139,0.00077851,0.00077851,0.00077851
127,0.41765,0.44966,0.14067,0.91621,0.89974,0.95832,0.59042,0.39072,0.46042,0.16038,0.00076866,0.00076866,0.00076866
128,0.418,0.4448,0.1387,0.91114,0.90821,0.95811,0.58903,0.39519,0.45673,0.16206,0.00075881,0.00075881,0.00075881
129,0.42336,0.44343,0.14218,0.91807,0.88939,0.95553,0.5917,0.39423,0.4623,0.15952,0.00074896,0.00074896,0.00074896
130,0.413,0.4456,0.1392,0.91222,0.89718,0.9554,0.58993,0.39498,0.45972,0.16128,0.0007391,0.0007391,0.0007391
131,0.41461,0.44867,0.1412,0.91327,0.90513,0.9568,0.5902,0.39419,0.46365,0.16066,0.00072925,0.00072925,0.00072925
132,0.41216,0.44652,0.14042,0.9094,0.90268,0.95592,0.59252,0.39241,0.46836,0.16058,0.0007194,0.0007194,0.0007194
133,0.41753,0.44602,0.14077,0.91095,0.90692,0.95396,0.59034,0.39086,0.46317,0.16081,0.00070955,0.00070955,0.00070955
134,0.42121,0.44089,0.14238,0.90696,0.90962,0.95463,0.59133,0.39236,0.46371,0.16072,0.0006997,0.0006997,0.0006997
135,0.40883,0.44679,0.13736,0.90774,0.90198,0.95381,0.59594,0.38941,0.46962,0.1597,0.00068985,0.00068985,0.00068985
136,0.41147,0.44612,0.1354,0.90904,0.90776,0.95423,0.59412,0.38839,0.46238,0.1601,0.00068,0.00068,0.00068
137,0.41433,0.44291,0.13802,0.90819,0.90739,0.95424,0.59139,0.39196,0.46109,0.15946,0.00067015,0.00067015,0.00067015
138,0.41483,0.444,0.14316,0.9187,0.90441,0.9541,0.59495,0.38731,0.468,0.15766,0.0006603,0.0006603,0.0006603
139,0.40957,0.44568,0.13861,0.91903,0.89825,0.95744,0.59489,0.39204,0.46053,0.16047,0.00065045,0.00065045,0.00065045
140,0.41582,0.44075,0.13927,0.90837,0.91381,0.95452,0.59387,0.39061,0.4565,0.15958,0.0006406,0.0006406,0.0006406
141,0.40811,0.44152,0.13609,0.9185,0.90108,0.95508,0.59713,0.38886,0.4609,0.15812,0.00063075,0.00063075,0.00063075
142,0.4079,0.43667,0.13767,0.91269,0.90827,0.95098,0.59278,0.38941,0.45823,0.15947,0.0006209,0.0006209,0.0006209
143,0.39951,0.43431,0.1339,0.91167,0.90872,0.95689,0.59791,0.38628,0.46015,0.15721,0.00061104,0.00061104,0.00061104
144,0.39939,0.43546,0.1347,0.91343,0.90622,0.95658,0.59465,0.3912,0.4582,0.15909,0.00060119,0.00060119,0.00060119
145,0.40745,0.43726,0.13457,0.91135,0.90962,0.95824,0.60153,0.38464,0.45491,0.15671,0.00059134,0.00059134,0.00059134
146,0.39673,0.43724,0.1347,0.89403,0.91772,0.95512,0.59707,0.38907,0.46274,0.15761,0.00058149,0.00058149,0.00058149
147,0.40557,0.4361,0.13487,0.90888,0.91945,0.96194,0.60358,0.3847,0.45344,0.15583,0.00057164,0.00057164,0.00057164
148,0.39864,0.43799,0.13248,0.91128,0.91906,0.95997,0.60397,0.38239,0.45445,0.15521,0.00056179,0.00056179,0.00056179
149,0.40458,0.43484,0.13511,0.91585,0.90378,0.95796,0.59819,0.38812,0.45856,0.1583,0.00055194,0.00055194,0.00055194
150,0.39913,0.42997,0.13463,0.90798,0.91836,0.95746,0.60343,0.38277,0.45638,0.15497,0.00054209,0.00054209,0.00054209
151,0.39315,0.42972,0.12931,0.91837,0.9105,0.95966,0.60366,0.38518,0.45251,0.15797,0.00053224,0.00053224,0.00053224
152,0.39118,0.43079,0.13143,0.91252,0.92086,0.9612,0.60545,0.38319,0.45106,0.15464,0.00052239,0.00052239,0.00052239
153,0.39325,0.42874,0.12863,0.9204,0.91502,0.96316,0.60661,0.38261,0.45425,0.15551,0.00051254,0.00051254,0.00051254
154,0.3911,0.43027,0.13102,0.91781,0.92086,0.96353,0.60846,0.379,0.45065,0.15321,0.00050269,0.00050269,0.00050269
155,0.39418,0.42857,0.1305,0.917,0.92221,0.96011,0.61063,0.37926,0.45337,0.15332,0.00049284,0.00049284,0.00049284
156,0.38714,0.42421,0.13068,0.91286,0.91682,0.95791,0.61054,0.37883,0.45302,0.15286,0.00048299,0.00048299,0.00048299
157,0.39104,0.42842,0.12706,0.92655,0.9132,0.96141,0.61109,0.37974,0.44826,0.15307,0.00047313,0.00047313,0.00047313
158,0.38573,0.43007,0.13066,0.91559,0.90647,0.95827,0.60931,0.37925,0.45204,0.15247,0.00046328,0.00046328,0.00046328
159,0.39083,0.43059,0.129,0.92981,0.90543,0.95937,0.60897,0.37922,0.45482,0.15279,0.00045343,0.00045343,0.00045343
160,0.387,0.42956,0.12906,0.92299,0.91187,0.96058,0.6103,0.37605,0.45647,0.15264,0.00044358,0.00044358,0.00044358
161,0.38421,0.42186,0.12462,0.92678,0.90737,0.95896,0.61228,0.37501,0.45181,0.15132,0.00043373,0.00043373,0.00043373
162,0.38497,0.42327,0.12829,0.91941,0.91232,0.95803,0.60639,0.38124,0.45086,0.15362,0.00042388,0.00042388,0.00042388
163,0.38458,0.42335,0.1283,0.92687,0.91457,0.96094,0.61085,0.37672,0.4522,0.15172,0.00041403,0.00041403,0.00041403
164,0.38287,0.422,0.1266,0.92454,0.92002,0.9607,0.61092,0.37726,0.44693,0.15216,0.00040418,0.00040418,0.00040418
165,0.38454,0.42733,0.12855,0.9305,0.90904,0.96119,0.61307,0.3752,0.45165,0.15117,0.00039433,0.00039433,0.00039433
166,0.37244,0.42328,0.12422,0.9295,0.91293,0.96258,0.61292,0.37599,0.44718,0.15274,0.00038448,0.00038448,0.00038448
167,0.37303,0.41698,0.12475,0.93047,0.90258,0.95777,0.611,0.37745,0.45126,0.15287,0.00037463,0.00037463,0.00037463
168,0.37716,0.4232,0.12357,0.92794,0.9149,0.95651,0.60756,0.37807,0.45372,0.15319,0.00036478,0.00036478,0.00036478
169,0.37555,0.42243,0.12431,0.92972,0.91599,0.96081,0.61395,0.37542,0.45286,0.15185,0.00035493,0.00035493,0.00035493
170,0.38178,0.42188,0.12444,0.92616,0.91817,0.96226,0.61527,0.37521,0.44804,0.15152,0.00034507,0.00034507,0.00034507
171,0.37897,0.42151,0.12488,0.92566,0.91592,0.96278,0.61678,0.37418,0.45116,0.1511,0.00033522,0.00033522,0.00033522
172,0.37552,0.41924,0.12401,0.92347,0.91693,0.9633,0.61954,0.37264,0.44696,0.15103,0.00032537,0.00032537,0.00032537
173,0.36971,0.41385,0.12056,0.92489,0.91909,0.96369,0.61871,0.37272,0.45027,0.15218,0.00031552,0.00031552,0.00031552
174,0.3827,0.41617,0.12807,0.92444,0.91313,0.95964,0.61469,0.37488,0.45093,0.15202,0.00030567,0.00030567,0.00030567
175,0.36755,0.41776,0.12134,0.92844,0.9159,0.96222,0.61715,0.37064,0.45348,0.14968,0.00029582,0.00029582,0.00029582
176,0.36831,0.41511,0.11847,0.92833,0.91232,0.96275,0.61774,0.3729,0.44695,0.15075,0.00028597,0.00028597,0.00028597
177,0.36973,0.4138,0.12089,0.93045,0.91431,0.96254,0.61743,0.37222,0.44766,0.15073,0.00027612,0.00027612,0.00027612
178,0.36731,0.41641,0.12178,0.93346,0.91463,0.96143,0.62014,0.36955,0.4484,0.14964,0.00026627,0.00026627,0.00026627
179,0.37046,0.4145,0.12168,0.93689,0.90779,0.96155,0.62088,0.36864,0.45003,0.14897,0.00025642,0.00025642,0.00025642
180,0.36499,0.41361,0.1192,0.926,0.91713,0.96198,0.62073,0.36902,0.45056,0.14813,0.00024657,0.00024657,0.00024657
181,0.36869,0.41322,0.11915,0.92267,0.92356,0.96095,0.61712,0.37133,0.44628,0.1491,0.00023672,0.00023672,0.00023672
182,0.36627,0.41131,0.12326,0.92378,0.92221,0.96173,0.61949,0.37111,0.44795,0.14902,0.00022687,0.00022687,0.00022687
183,0.36287,0.41155,0.11819,0.91373,0.93347,0.96359,0.61953,0.3704,0.44937,0.1486,0.00021701,0.00021701,0.00021701
184,0.36789,0.41298,0.12081,0.92088,0.92131,0.96108,0.61882,0.37078,0.45216,0.14925,0.00020716,0.00020716,0.00020716
185,0.36263,0.41063,0.11778,0.93314,0.91142,0.9631,0.61955,0.36947,0.44902,0.14801,0.00019731,0.00019731,0.00019731
186,0.36177,0.40949,0.1177,0.92287,0.92001,0.96288,0.62279,0.36809,0.44892,0.14752,0.00018746,0.00018746,0.00018746
187,0.36616,0.40685,0.11996,0.93679,0.9062,0.96255,0.62254,0.36906,0.4484,0.14854,0.00017761,0.00017761,0.00017761
188,0.36412,0.40647,0.11732,0.92877,0.91459,0.96324,0.62524,0.36728,0.4507,0.14758,0.00016776,0.00016776,0.00016776
189,0.36453,0.41178,0.11761,0.92997,0.91364,0.96306,0.62569,0.36812,0.44752,0.14805,0.00015791,0.00015791,0.00015791
190,0.3602,0.41181,0.11709,0.92591,0.92154,0.96232,0.62389,0.36756,0.45016,0.14699,0.00014806,0.00014806,0.00014806
