                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 1.1873,                0.58732,                 1.2607,                 1.2524,                0.57942,                 1.2812,                0.89294,                0.89252,                0.94818,                0.59976,                  1.248,                0.58021,                 1.3714,                 1.2781,                0.52805,                 1.3811,               0.001409,               0.001409,               0.001409
                     63,                 1.1759,                0.58195,                 1.2551,                 1.2435,                0.57377,                 1.2724,                0.88523,                0.88087,                0.94847,                0.60281,                 1.2448,                0.58344,                 1.3801,                 1.2765,                0.52943,                 1.3944,              0.0013991,              0.0013991,              0.0013991
                     64,                 1.1807,                 0.5767,                 1.2537,                 1.2526,                0.56525,                 1.2733,                0.90954,                0.88613,                 0.9517,                0.60882,                 1.2422,                0.57394,                 1.3641,                 1.2607,                0.53361,                 1.3714,              0.0013893,              0.0013893,              0.0013893
                     65,                 1.1649,                 0.5639,                 1.2373,                 1.2339,                0.54872,                 1.2573,                0.89715,                0.87858,                 0.9495,                0.60654,                  1.235,                0.56736,                   1.36,                 1.2631,                0.53427,                 1.3732,              0.0013794,              0.0013794,              0.0013794
                     66,                 1.1599,                0.56841,                 1.2429,                 1.2238,                 0.5564,                 1.2641,                0.89359,                0.89523,                0.95257,                0.60944,                 1.2352,                0.57357,                  1.369,                 1.2607,                0.51751,                 1.3869,              0.0013696,              0.0013696,              0.0013696
                     67,                 1.1636,                0.56494,                 1.2439,                 1.2228,                0.54882,                  1.261,                0.91088,                0.87778,                0.95346,                0.60873,                 1.2395,                0.57211,                 1.3559,                 1.2734,                0.51972,                 1.3785,              0.0013597,              0.0013597,              0.0013597
                     68,                   1.14,                0.55107,                 1.2223,                 1.2089,                0.53511,                 1.2433,                0.90644,                0.87556,                0.94953,                0.60638,                 1.2451,                0.57542,                 1.3729,                 1.2733,                 0.5414,                 1.3954,              0.0013499,              0.0013499,              0.0013499
                     69,                  1.134,                0.54592,                 1.2224,                 1.1912,                0.52528,                 1.2406,                0.88272,                0.90363,                0.95011,                0.60834,                 1.2325,                0.55854,                 1.3701,                 1.2747,                0.49682,                 1.3918,                0.00134,                0.00134,                0.00134
                     70,                 1.1314,                0.54619,                 1.2203,                 1.1963,                0.53359,                 1.2377,                0.88642,                0.90886,                0.95482,                0.62169,                 1.2136,                0.55282,                 1.3422,                 1.2446,                0.50436,                 1.3581,              0.0013301,              0.0013301,              0.0013301
                     71,                 1.1239,                0.54721,                 1.2217,                 1.1875,                 0.5347,                 1.2479,                 0.9007,                0.90135,                0.95372,                0.61921,                 1.2057,                0.54699,                 1.3448,                 1.2434,                0.49694,                 1.3787,              0.0013203,              0.0013203,              0.0013203
                     72,                 1.1303,                0.55221,                 1.2272,                 1.1928,                 0.5303,                 1.2533,                0.91361,                0.87365,                0.95283,                0.61212,                  1.234,                 0.5615,                 1.3639,                 1.2635,                0.50545,                 1.3895,              0.0013104,              0.0013104,              0.0013104
                     73,                 1.1233,                0.54587,                 1.2156,                 1.1856,                0.52397,                 1.2423,                0.90576,                0.88444,                0.95471,                0.61963,                 1.2221,                0.55503,                  1.348,                 1.2428,                0.50615,                 1.3706,              0.0013006,              0.0013006,              0.0013006
                     74,                 1.1043,                 0.5384,                 1.2084,                 1.1693,                0.52665,                 1.2321,                0.91321,                0.88474,                0.95709,                0.62179,                 1.2211,                0.54769,                 1.3553,                 1.2466,                0.50307,                  1.376,              0.0012907,              0.0012907,              0.0012907
                     75,                 1.1413,                0.54735,                 1.2359,                  1.201,                 0.5321,                 1.2605,                0.89397,                0.90611,                0.95694,                 0.6254,                 1.2132,                0.55428,                 1.3445,                 1.2357,                0.50213,                 1.3697,              0.0012809,              0.0012809,              0.0012809
                     76,                 1.0906,                0.53263,                 1.1978,                 1.1554,                0.51873,                  1.225,                 0.9164,                0.88849,                0.96168,                0.63735,                 1.1852,                0.53653,                 1.3348,                 1.2035,                0.47947,                 1.3547,               0.001271,               0.001271,               0.001271
                     77,                 1.0925,                0.53307,                 1.2032,                 1.1586,                0.51222,                 1.2254,                0.89994,                0.91398,                0.95964,                0.62044,                 1.2068,                0.54443,                 1.3445,                 1.2428,                0.48707,                 1.3684,              0.0012612,              0.0012612,              0.0012612
                     78,                 1.0984,                0.52993,                 1.2063,                 1.1626,                0.50588,                 1.2269,                0.89865,                0.90498,                0.95544,                0.62774,                 1.1813,                0.53886,                 1.3392,                  1.214,                0.48289,                 1.3587,              0.0012513,              0.0012513,              0.0012513
                     79,                 1.0689,                0.51287,                 1.1867,                   1.13,                 0.4948,                 1.2087,                0.90531,                0.90108,                0.96062,                0.63354,                 1.1832,                0.52799,                 1.3265,                  1.211,                0.47636,                 1.3487,              0.0012415,              0.0012415,              0.0012415
                     80,                 1.0778,                0.51893,                 1.1916,                 1.1373,                0.49518,                  1.211,                0.91614,                0.89973,                 0.9595,                0.63259,                 1.1795,                0.53496,                 1.3295,                 1.2035,                0.48016,                 1.3466,              0.0012316,              0.0012316,              0.0012316
                     81,                 1.0626,                0.51319,                 1.1776,                 1.1267,                0.49134,                 1.1975,                0.91475,                0.89523,                0.96219,                0.63905,                 1.1763,                0.52372,                 1.3365,                  1.199,                0.46646,                 1.3534,              0.0012218,              0.0012218,              0.0012218
                     82,                 1.0691,                0.51417,                 1.1792,                 1.1342,                0.49304,                 1.1962,                0.90674,                0.90782,                 0.9607,                0.63432,                 1.1761,                0.53029,                 1.3226,                 1.1975,                 0.4794,                  1.335,              0.0012119,              0.0012119,              0.0012119
                     83,                 1.0576,                0.51282,                 1.1785,                  1.122,                0.49181,                 1.1967,                 0.9093,                0.90609,                0.96116,                0.64222,                 1.1595,                0.51817,                  1.311,                 1.1841,                0.47096,                 1.3244,              0.0012021,              0.0012021,              0.0012021
                     84,                  1.035,                0.50498,                 1.1626,                 1.1008,                0.48727,                 1.1838,                0.92374,                0.89478,                0.96144,                0.63962,                 1.1574,                0.51895,                 1.3144,                 1.1902,                0.46883,                 1.3383,              0.0011922,              0.0011922,              0.0011922
                     85,                 1.0318,                0.50191,                 1.1612,                 1.0884,                0.48493,                 1.1846,                0.90495,                0.91186,                0.96166,                0.63893,                 1.1686,                0.51723,                  1.319,                 1.1985,                0.47031,                 1.3475,              0.0011824,              0.0011824,              0.0011824
                     86,                 1.0241,                0.49421,                 1.1606,                  1.082,                0.46955,                 1.1848,                 0.9229,                0.90955,                 0.9623,                0.63558,                 1.1616,                0.51052,                 1.3148,                 1.1968,                0.46074,                 1.3444,              0.0011725,              0.0011725,              0.0011725
                     87,                 1.0416,                0.50707,                 1.1709,                 1.1001,                 0.4853,                 1.1937,                0.91694,                0.90603,                0.96257,                0.63905,                 1.1572,                0.51432,                 1.3094,                 1.1856,                0.47265,                  1.331,              0.0011627,              0.0011627,              0.0011627
                     88,                 1.0194,                  0.493,                 1.1574,                 1.0851,                0.47737,                 1.1813,                0.90367,                0.89422,                0.95583,                0.63474,                 1.1568,                0.51782,                 1.3106,                 1.1877,                0.48117,                 1.3429,              0.0011528,              0.0011528,              0.0011528
                     89,                 1.0129,                0.48954,                  1.152,                 1.0769,                0.47023,                 1.1736,                0.92604,                0.89523,                0.95995,                0.63819,                 1.1535,                0.51024,                 1.3154,                 1.1799,                 0.4762,                  1.329,               0.001143,               0.001143,               0.001143
                     90,                  1.014,                0.49236,                 1.1527,                  1.076,                0.47232,                 1.1718,                 0.9294,                0.89478,                0.96096,                0.63665,                 1.1605,                0.51173,                 1.3209,                 1.1872,                0.46069,                 1.3348,              0.0011331,              0.0011331,              0.0011331
