                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
48,1.3177,0.68053,1.3696,1.3751,0.70421,1.3818,0.8643,0.85836,0.92878,0.5696,1.3167,0.64694,1.4422,1.3464,0.61005,1.4534,0.0015469,0.0015469,0.0015469
49,1.3267,0.68018,1.3719,1.3895,0.69465,1.3842,0.87493,0.85117,0.93154,0.56781,1.3109,0.64159,1.4331,1.349,0.59443,1.4492,0.001537,0.001537,0.001537
50,1.3091,0.66619,1.3509,1.3695,0.68559,1.3647,0.85199,0.86705,0.92688,0.56036,1.3357,0.65317,1.4551,1.3661,0.63148,1.4762,0.0015272,0.0015272,0.0015272
51,1.2935,0.66128,1.34,1.36,0.68179,1.3574,0.8635,0.86376,0.93424,0.57666,1.3029,0.64378,1.4263,1.3372,0.59516,1.441,0.0015173,0.0015173,0.0015173
52,1.2873,0.64989,1.3414,1.3502,0.65522,1.3572,0.88886,0.85072,0.929,0.56117,1.3353,0.65593,1.4351,1.368,0.61233,1.4453,0.0015075,0.0015075,0.0015075
53,1.2734,0.64933,1.3322,1.3417,0.65474,1.3448,0.86771,0.86736,0.93239,0.5739,1.2959,0.63252,1.4298,1.3292,0.58414,1.4308,0.0014976,0.0014976,0.0014976
54,1.2787,0.64192,1.3314,1.3409,0.63687,1.3466,0.88203,0.85477,0.93766,0.57683,1.2777,0.63192,1.4088,1.3153,0.59573,1.4248,0.0014878,0.0014878,0.0014878
55,1.2879,0.65389,1.3404,1.3541,0.66457,1.3552,0.8927,0.84712,0.93249,0.57409,1.3078,0.63709,1.4279,1.3515,0.59743,1.4455,0.0014779,0.0014779,0.0014779
56,1.284,0.65384,1.3289,1.3478,0.65101,1.3453,0.86896,0.8696,0.93488,0.57761,1.3014,0.62984,1.4248,1.3296,0.60507,1.434,0.0014681,0.0014681,0.0014681
57,1.243,0.6344,1.3136,1.3051,0.63862,1.3286,0.86108,0.86601,0.93083,0.58457,1.2793,0.62123,1.4117,1.3058,0.59204,1.4126,0.0014582,0.0014582,0.0014582
58,1.2294,0.62081,1.31,1.2959,0.62381,1.3267,0.86962,0.86646,0.93309,0.57766,1.2997,0.62856,1.4312,1.3418,0.57622,1.4376,0.0014484,0.0014484,0.0014484
59,1.2484,0.63138,1.3116,1.312,0.6294,1.3263,0.88915,0.85836,0.93983,0.593,1.2556,0.60282,1.3976,1.2969,0.55743,1.4193,0.0014385,0.0014385,0.0014385
60,1.2424,0.62135,1.3067,1.3047,0.62513,1.327,0.89427,0.85572,0.93481,0.57942,1.2901,0.61132,1.4208,1.3329,0.55727,1.4443,0.0014287,0.0014287,0.0014287
61,1.24,0.6215,1.3101,1.298,0.62339,1.3244,0.88071,0.87968,0.94069,0.59792,1.2496,0.59928,1.3998,1.2731,0.56123,1.4159,0.0014188,0.0014188,0.0014188
62,1.2181,0.61792,1.2922,1.2838,0.61392,1.311,0.89962,0.86826,0.94098,0.59136,1.2653,0.60137,1.4012,1.292,0.55183,1.4151,0.001409,0.001409,0.001409
63,1.2053,0.60809,1.2797,1.2738,0.6091,1.2984,0.87101,0.8768,0.94245,0.59076,1.2533,0.60726,1.3976,1.2786,0.55484,1.4161,0.0013991,0.0013991,0.0013991
64,1.2066,0.60108,1.281,1.2789,0.59482,1.3038,0.88259,0.88804,0.94756,0.59318,1.266,0.60912,1.392,1.2954,0.56409,1.4175,0.0013893,0.0013893,0.0013893
65,1.2042,0.5955,1.2696,1.2697,0.58943,1.2873,0.89141,0.88216,0.94238,0.59638,1.2583,0.59185,1.3857,1.292,0.55092,1.4052,0.0013794,0.0013794,0.0013794
66,1.194,0.59518,1.2717,1.2571,0.59054,1.2916,0.88172,0.87995,0.94171,0.59303,1.2569,0.60167,1.4014,1.2898,0.55487,1.4233,0.0013696,0.0013696,0.0013696
67,1.1905,0.58942,1.2682,1.2558,0.57535,1.2906,0.8646,0.89568,0.94215,0.59481,1.2724,0.59503,1.3992,1.2986,0.56356,1.415,0.0013597,0.0013597,0.0013597
