                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
47,1.4848,0.80476,1.3913,1.5413,0.84878,1.4078,0.83442,0.82933,0.90483,0.5299,1.3692,0.74964,1.3956,1.4145,0.72222,1.4102,0.0015567,0.0015567,0.0015567
48,1.4608,0.79427,1.3884,1.5237,0.84259,1.4093,0.84397,0.82869,0.9044,0.52841,1.3991,0.74664,1.4014,1.4177,0.72717,1.421,0.0015469,0.0015469,0.0015469
49,1.4937,0.80284,1.4033,1.5453,0.85114,1.4176,0.85179,0.82329,0.90508,0.52426,1.435,0.74532,1.4096,1.4466,0.71472,1.4266,0.001537,0.001537,0.001537
50,1.488,0.79632,1.3932,1.5365,0.84063,1.4114,0.82464,0.84263,0.90157,0.51978,1.3949,0.74906,1.4136,1.4245,0.73798,1.439,0.0015272,0.0015272,0.0015272
51,1.469,0.78933,1.3839,1.5235,0.83862,1.401,0.85277,0.82779,0.90931,0.53587,1.3694,0.72664,1.3754,1.399,0.69807,1.3974,0.0015173,0.0015173,0.0015173
52,1.4555,0.78049,1.3799,1.5181,0.81138,1.3967,0.85059,0.82426,0.91048,0.52396,1.3876,0.74208,1.3907,1.4231,0.70543,1.4222,0.0015075,0.0015075,0.0015075
53,1.4537,0.78217,1.374,1.5129,0.82175,1.3973,0.86163,0.82599,0.909,0.53498,1.3761,0.71582,1.3834,1.3949,0.68568,1.4004,0.0014976,0.0014976,0.0014976
54,1.4382,0.76002,1.3632,1.5007,0.78162,1.3844,0.85841,0.83687,0.91087,0.53669,1.3703,0.73294,1.3792,1.4026,0.67939,1.4037,0.0014878,0.0014878,0.0014878
55,1.4497,0.7735,1.3715,1.5057,0.81208,1.3881,0.83734,0.84946,0.90927,0.53257,1.3768,0.73323,1.3907,1.4097,0.6864,1.4051,0.0014779,0.0014779,0.0014779
56,1.4545,0.77425,1.3694,1.516,0.79528,1.3814,0.84643,0.84017,0.91317,0.53761,1.3675,0.69623,1.3724,1.4028,0.67218,1.3888,0.0014681,0.0014681,0.0014681
