                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
117,1.0331,0.50515,1.1652,1.0909,0.4708,1.1806,0.91402,0.92728,0.96657,0.65402,1.1348,0.51491,1.2971,1.1595,0.45376,1.2988,0.00086716,0.00086716,0.00086716
118,1.0493,0.50789,1.1734,1.1097,0.48028,1.186,0.91422,0.90569,0.96332,0.64812,1.1356,0.5073,1.3085,1.1631,0.46101,1.3135,0.00085731,0.00085731,0.00085731
119,1.018,0.49689,1.1552,1.0813,0.4637,1.1738,0.9045,0.92266,0.96395,0.65059,1.1351,0.50779,1.301,1.171,0.44558,1.3197,0.00084746,0.00084746,0.00084746
120,1.036,0.49888,1.1561,1.0995,0.46623,1.1748,0.92831,0.90834,0.96516,0.65526,1.1263,0.5068,1.2903,1.1563,0.44979,1.305,0.00083761,0.00083761,0.00083761
121,1.0249,0.49325,1.1574,1.0888,0.45999,1.1748,0.91395,0.92644,0.96345,0.65624,1.1201,0.50097,1.2908,1.1507,0.45121,1.3035,0.00082776,0.00082776,0.00082776
122,1.0274,0.49772,1.1562,1.0926,0.46823,1.1733,0.9124,0.91787,0.96433,0.65503,1.12,0.50178,1.2923,1.1513,0.4524,1.306,0.00081791,0.00081791,0.00081791
123,1.0127,0.48552,1.1495,1.075,0.4473,1.1653,0.9149,0.92266,0.96664,0.65542,1.1201,0.49619,1.2926,1.15,0.43837,1.2991,0.00080806,0.00080806,0.00080806
124,1.0069,0.48764,1.1419,1.071,0.45531,1.1548,0.92161,0.91412,0.96543,0.65512,1.1177,0.50162,1.2875,1.1486,0.44721,1.2958,0.00079821,0.00079821,0.00079821
125,1.0151,0.48856,1.1451,1.0775,0.46,1.1578,0.91942,0.91052,0.96138,0.65464,1.1162,0.50427,1.281,1.1488,0.44889,1.2964,0.00078836,0.00078836,0.00078836
126,1.007,0.48716,1.1383,1.0727,0.46237,1.1557,0.9234,0.91598,0.96452,0.6565,1.1113,0.49666,1.2813,1.1411,0.45414,1.2933,0.00077851,0.00077851,0.00077851
